MAE,RMSE,MAPE,MAPE_coverage,SMAPE,model,family,fold,n_test,fit_seconds
2.3541666666666665,3.711281599543628,100.81554085506849,0.8569444444444444,96.04278273501467,naive,baseline,0,720,0.0
2.1944444444444446,3.3387456060955323,88.59389875615837,0.8666666666666667,90.84152380843557,naive,baseline,1,720,0.0
2.373611111111111,3.80405485414358,94.77198789533517,0.8569444444444444,92.82585683734746,seasonal_naive,baseline,0,720,0.0
2.2319444444444443,3.341448455053254,94.10242223944148,0.8666666666666667,91.7446811432038,seasonal_naive,baseline,1,720,0.0
1.7982060185185185,2.7692773582996986,69.97564323100222,0.8569444444444444,75.02065106820616,moving_average,baseline,0,720,0.0
1.676388888888889,2.4405755762767356,67.67725053206823,0.8666666666666667,72.5261651714372,moving_average,baseline,1,720,0.0
1.7522952050711205,2.7385111031150973,66.4860438664826,0.8569444444444444,73.82056360912732,ets,statistical,0,720,0.74
1.6654369616895133,2.4073980936009343,67.89762729464023,0.8666666666666667,71.74213508809174,ets,statistical,1,720,0.05
1.7179972024814978,2.7239218503436984,62.916330180808046,0.8569444444444444,73.302973905988,random_forest,ml,0,720,14.69
1.6553015712196595,2.4056756134654305,65.64172826159765,0.8666666666666667,71.70700811714859,random_forest,ml,1,720,14.81
1.8386938867469629,2.785129498140787,72.63689243578038,0.8569444444444444,74.23902557719951,xgboost,ml,0,720,2.02
1.8187813369764223,2.522320694996039,78.6280542810314,0.8666666666666667,74.36840405409555,xgboost,ml,1,720,1.56
1.7384022542000834,2.696466062175969,66.67344949919375,0.8569444444444444,73.13369979556546,lightgbm,ml,0,720,7.87
1.770804640957497,2.4842416875057447,75.0341953344508,0.8666666666666667,74.43515754486673,lightgbm,ml,1,720,5.74
1.6892391543461647,2.690140052577357,61.483356035111946,0.8569444444444444,72.52281750955085,catboost,ml,0,720,5.21
1.6366266606079403,2.391050804808603,65.48412396540427,0.8666666666666667,71.45552387668043,catboost,ml,1,720,4.71
1.714187020148808,2.727883782440947,62.61635885686139,0.8569444444444444,73.5989860320859,prophet,advanced,0,720,2.75
1.6848018499054456,2.4267760447136104,67.69132690309428,0.8666666666666667,72.51124533600864,prophet,advanced,1,720,2.53
