feature,importance,std
alert_minutes_lag_1,0.00835705500480725,0.00030429256886245476
alert_minutes_roll_std_3,0.005497915756522154,6.824396288365462e-05
alerts_started_roll_mean_168,0.003006220544953875,0.0001354641451870717
alert_minutes_roll_min_3,0.0024654569771207615,0.00012625072363739022
alert_minutes_roll_std_6,0.002337137505992115,6.154943764687146e-05
alert_minutes_roll_sum_24,0.0021623435863935394,3.960666070867724e-05
alert_minutes_roll_mean_24,0.0020400481382866487,4.7435078713235686e-05
alert_minutes_roll_mean_6,0.0016607472055254258,6.374480920613052e-05
alert_minutes_roll_std_24,0.0015720765312381701,4.975261867703671e-05
hour,0.001497155937707989,0.0002665524965410764
region_cat,0.0014528690209793971,0.00014327406447355978
alert_minutes_roll_mean_168,0.0014246010646865926,7.861471410911657e-05
alert_minutes_lag_168,0.001280273435132473,4.72034794463021e-05
alert_minutes_roll_std_168,0.0011543974121249634,8.461632090510557e-05
alert_minutes_lag_24,0.0011425723575224423,4.461252332618926e-05
alerts_started_roll_mean_24,0.001141848982572541,7.056103942112502e-05
alert_minutes_lag_48,0.000962709539651635,5.0636551719242606e-05
alert_minutes_roll_mean_3,0.0009413991161337565,6.225711821543127e-05
time_since_last_alert,0.0009093234026093799,3.544294046071406e-05
alert_minutes_roll_std_12,0.0008113837394514046,2.5705950699536553e-05
hour_cos,0.0007718186720149456,2.6567662816030768e-05
alerts_started_lag_1,0.0006984493715626982,6.602803401628416e-05
alert_minutes_roll_max_72,0.0006468977949799281,5.078889573324826e-05
hour_sin,0.0006329515808553455,3.662913998864569e-05
alert_minutes_roll_mean_72,0.0006229499532196759,3.465603608202707e-05
alert_minutes_roll_sum_72,0.0006137479583381289,2.980802351536851e-05
alerts_started_roll_std_168,0.0005998311512091459,2.814056544409485e-05
alert_minutes_roll_std_72,0.0005679843904833282,3.796708523174989e-05
alert_minutes_roll_sum_6,0.0005578175756390635,4.458761474398032e-05
alert_minutes_roll_max_12,0.0005512099944636028,3.103815766821607e-05
week_of_year,0.0004986019238189976,0.00010253265810428533
alert_minutes_lag_3,0.0004882503832636997,5.2874680652983156e-05
